emoji,unicode,r,g,b,hex_color
"💪",128170,248,184,67,"#f8b843"
"🦾",129470,152,146,158,"#98929e"
"🦿",129471,164,158,170,"#a49eaa"
"🦵",129461,250,194,70,"#fac246"
"🦶",129462,249,196,73,"#f9c449"
"👂",128066,252,195,67,"#fcc343"
"🦻",129467,239,193,92,"#efc15c"
"👃",128067,248,194,67,"#f8c243"
"🧠",129504,248,125,195,"#f87dc3"
"🫀",129728,209,98,162,"#d162a2"
"🫁",129729,232,145,158,"#e8919e"
"🦷",129463,219,211,223,"#dbd3df"
"🦴",129460,212,204,217,"#d4ccd9"
"👀",128064,170,158,180,"#aa9eb4"
"👅",128069,199,29,123,"#c71d7b"
"👄",128068,229,78,125,"#e54e7d"
"🫦",129766,230,87,134,"#e65786"
"👶",128118,239,180,60,"#efb43c"
"🧒",129490,237,173,54,"#edad36"
"👦",128102,239,176,54,"#efb036"
"👧",128103,238,175,58,"#eeaf3a"
"🧑",129489,237,174,57,"#edae39"
"👱",128113,239,187,92,"#efbb5c"
"👨",128104,243,182,48,"#f3b630"
"🧔",129492,235,169,60,"#eba93c"
"🦰",129456,235,162,63,"#eba23f"
"👩",128105,233,169,55,"#e9a937"
"🦱",129457,235,168,48,"#eba830"
"🦳",129459,238,187,99,"#eebb63"
"🦲",129458,248,193,61,"#f8c13d"
"♀",9792,0,0,0,"#000000"
"🧓",129491,214,171,91,"#d6ab5b"
"👴",128116,230,176,73,"#e6b049"
"👵",128117,212,170,94,"#d4aa5e"
"🙍",128589,241,153,50,"#f19932"
"🙎",128590,245,148,50,"#f59432"
"🙅",128581,246,142,47,"#f68e2f"
"🙆",128582,248,131,41,"#f88329"
"💁",128129,242,146,51,"#f29233"
"🙋",128587,244,144,49,"#f49031"
"🧏",129487,241,154,60,"#f19a3c"
"🙇",128583,236,156,56,"#ec9c38"
"🤦",129318,242,142,46,"#f28e2e"
"🤷",129335,241,135,44,"#f1872c"
"⚕",9877,0,0,0,"#000000"
"🎓",127891,98,73,91,"#62495b"
"🏫",127979,185,160,141,"#b9a08d"
"⚖",9878,0,0,0,"#000000"
"🌾",127806,172,178,91,"#acb25b"
"🍳",127859,112,91,132,"#705b84"
"🔧",128295,210,202,222,"#d2cade"
"🏭",127981,159,148,169,"#9f94a9"
"💼",128188,127,79,90,"#7f4f5a"
"🔬",128300,154,156,183,"#9a9cb7"
